vehicle,make,model,model_year,component,service_theme,complaint_count,recall_count,priority_score,priority,suggested_owner,sla,recommended_action,evidence_sample
2022 Toyota Camry,Toyota,Camry,2022,STEERING,Safety-critical control issue,2,0,30,Low,Dealer Service + Product Quality,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"Heated steering wheel so hot on the left side. Almost caught on fire. It cause a little smoke, burning smell and burned marks."
2021 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2021,FUEL,Service experience issue,1,0,30,Low,Safety & Compliance + Parts Planning,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"A squirrel chewed into the fuel line [Hose - GM (84871298), see: https://www.gmpartsdirect.com/oem-parts/gm-hose-84871298). This caused a fuel leak that could be directly observed only while the vehicle was running. On one occasion, however, a small pool of fuel appeared under the vehicle immediately after shut off. This part failure poses a fire and explosion risk. In addition, the wasted gasoline pollutes the atmosphere. The line was replaced at Lynn Layton Chevrolet of Decatur Alabama (invoice 608119). The part was inspected by Lynn Layton Chevrolet as part of that service ticket in order t"
2021 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2021,PARKING BRAKE,Safety-critical control issue,1,0,30,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"The contact owns a 2021 Chevrolet Silverado 1500. The contact stated that while driving approximately 50 MPH, the engine started rumbling with the check engine, stability-trac, and the parking brake warning lights illuminated. The vehicle was taken to an independent mechanic who diagnosed a misfire in cylinder #1. The mechanic referred the contact to the dealer for assistance. The vehicle was taken to the dealer, who diagnosed that the lift valve had collapsed, and the right side of the block lifters needed to be replaced. The vehicle was not repaired. The manufacturer was informed of the fail"
2021 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2021,SUSPENSION,Service experience issue,1,0,30,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"THE INITIAL CALL IN FOR SERVICE IT WAS TAKEN IN ON 12292020/MILEAGE 1020 FOR A OIL CHANGE AND A CLUNKING NOISE COMING BACK FROM THE REAR END AT LOW SPEEDS, WHILE TURNING AND GOING OVER BUMPS AT ALL SPEEDS. THE DEALERSHIP WAS ABLE TO HEAR THE NOISE AND ADVISED THAT THEY CANNOT FIND OUT WHERE THE NOISE IS COMING FROM. THE DEALERSHIP ADVISED THAT THEY SUBMITTED A TICKET TO GM FOR THE NOISE. ON 03022021/MILEAGE 2797 THE TRUCK WAS TAKEN BACK INTO THE DEALER FOR THE SAME NOISE BECAUSE ITS GETTING LOUDER. THE DEALER AGAIN SAID THAT THEY HEARD THE NOISE BUT CANNOT FIGURE IT OUT. THEY ADVISED THAT THEY"
2021 Hyundai Tucson,Hyundai,Tucson,2021,ENGINE,Safety-critical control issue,1,0,30,Low,Product Quality,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"My family’s safety is at serious risk with my 2021 Hyundai Tucson, which I’ve owned only 55 days. This vehicle has stalled three times while driving, putting me and my two young children in immediate danger. Each time, the car operated normally until a flashing engine light appeared, RPMs spiked, and the vehicle suddenly lost all power—entering “limp mode” and unable to exceed 3,000 RPM or 50 MPH. The first failure occurred 9/14/25 while merging onto the interstate, forcing me to lose power mid-acceleration as surrounding vehicles slammed their brakes to avoid collision. 13 days later, it happ"
2021 Hyundai Tucson,Hyundai,Tucson,2021,FORWARD COLLISION AVOIDANCE,Safety-critical control issue,1,0,30,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"Forward collision warning is set at ""early"", but I only get 1 out of dozen incidents where I feel the warning should be triggered. Often I had to hit the brake hard enough to cause chest pains for me & my passenger. So, the injury below is a minor one for now, but may easily become quite extensive."
2021 Hyundai Tucson,Hyundai,Tucson,2021,STRUCTURE,General vehicle issue,1,0,30,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"While driving on the freeway my sunroof suddenly imploded sending glass everywhere. No warning whatsoever it was like a bomb went off out of nowhere. Nothing hit the car and temps were not high and it just imploded This is a serious matter and extremely dangerous. The pain and ringing in my ears is awful, glass went all over this is serious issue that can cause death and injury"
2021 Tesla Model 3,Tesla,Model 3,2021,EXTERIOR LIGHTING,Safety-critical control issue,1,0,30,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"Car brakes while using adaptive speed control. In one incident the car was traveling at 71 miles per hour and braked to 25 mph. In other situations the car braked by at least 5 mph, on some situations this happened while speed control was engaged and I was traveling at 50 mph or less. In all these situations, there was not another vehicle in front of me that posed an immediate threat of collision. The adaptive self dimming headlights do not work properly while driving at night. Lights do not always dim for approaching vehicles or when approaching another vehicle from behind. On some occasions "
2022 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2022,FUEL,Safety-critical control issue,1,0,30,Low,Safety & Compliance + Parts Planning,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"January 23, 2026, Truck wouldn't start, would crank but not turn over. We lost power steering. We're stranded and had it towed to chevy dealership. System code reported the fuel pump control module had failed. For some reason, GM did not include Chevy Silverado in their list of vehicles in the 2025 fpcm recall. We're lucky we weren't on the freeway when this part failed. We would have been going 60mph with loss of power steering. GM needs to do better. Was repaired under warranty at Sunset Chevrolet 901 Traffic Ave, Sumner WA."
2022 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2022,LANE DEPARTURE,Service experience issue,1,0,30,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,My forward collision light what on sp i took the vehicle in to have it fixed under warranty. Upon having that part replaced the dealership informed me my OnStar module (unsure of technical name) was bad and that the vehicle would be inoperable until it is replaced. The part is on backorder with no ETA. My safety is a major concern as this module controls several safety braking features and with me unaware of its malfunction a collision would have caused severe injury or death.
2022 Honda Civic,Honda,Civic,2022,STRUCTURE,Safety-critical control issue,1,0,30,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"Due to a faulty malfunctioning manufactured back up camera and front dashboard display, my sister backed into another car while parallel parking, resulting in a damages on the paint of the back bumper and further indentation. Additionally this issue happens all of sudden no matter what the weather condition or temperature outside is which increases the risk of a crash with vehicle behind or injury to a pedestrian. I have proof of this happening and it seems forums online have reported this issue to"
2022 Tesla Model 3,Tesla,Model 3,2022,SEATS,Safety-critical control issue,1,0,30,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"Driver's seat weight sensor not working properly. Causes car to slam on the brakes when seatbelt is not on (for example in a driveway or automated carwash, potentially causing a crash) and can potentially leave car running indefinitely (draining the battery). Since sometimes it gets stuck in the occupied or unoccupied state."
2022 Toyota Camry,Toyota,Camry,2022,ELECTRICAL SYSTEM,Safety-critical control issue,1,0,30,Low,Product Quality + Dealer Service,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"I was driving on i-65 northbound in Alabama, 20 miles south of Birmingham, when my car suddenly had multiple warnings appear on my dash and I lost all forward power. My power steering malfunctioned and I was forced to immediately slow up the car and bring it to a stop. The warnings that appeared were ""Hybrid System Malfunction"", ""Braking Power Low"", ""Maintenance Required"", ""Pre-Collision System Malfunction"", and ""Check Engine"". I had about 5 lights appear on my dash as well. The fact that I lost power steering means I could of easily crashed if I wasn't careful. I have brought the car to the d"
2021 Tesla Model 3,Tesla,Model 3,2021,FORWARD COLLISION AVOIDANCE,General vehicle issue,46,0,29,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"The car, with no known or evident driver, stopped the lane awareness, cruise control, etc. All of those just stopped working and per Tesla that's expected which is surprising since it's all part of the safety systems. The car's visual cues stopped identifying lanes and as a byproduct of that, none of the dependent features work."
2022 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2022,ENGINE AND ENGINE COOLING,Driveability / power issue,21,0,29,Low,Product Quality,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,See attached document for complaint
2022 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2022,ELECTRICAL SYSTEM,Driveability / power issue,20,0,29,Low,Product Quality + Dealer Service,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,The raido screen glitches randomly and wont let you use it. The engine has a bad shudder while driving. When the engine shudders the RPMs go down. It has hard shift most of the time after sitting over night and starting driving in the morning. It has been doing these issues for at least 6 months.
2021 Tesla Model 3,Tesla,Model 3,2021,UNKNOWN OR OTHER,Electrical / software issue,18,0,28,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"HVAC system went out at 7500ish miles. It was repaired under warranty, and a ""fix"" was administered through software by tesla. My HVAC has gone out again at 84k miles FOR THE SAME REASON. about 77k miles after it was just repaired. Quick check online. this is still a very common issue. No heat creates a significant safety hazard due to lack of the ability to defrost the vehicle or frost building up on cold days."
2022 Hyundai Tucson,Hyundai,Tucson,2022,FUEL,Service experience issue,14,0,27,Low,Safety & Compliance + Parts Planning,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,We brought our 2022 Hyundai Tucson into our local Hyundai dealership under warranty for Technical Service Bulletin MISFIRE DTC (P030X) – INTERNAL GDI INJECTOR LEAK REPAIR. We were surprised to learn the dealership did not have the parts in stock considering this is a widely known issue and we incurred significant expenses while waiting for the vehicle to be repaired. Expenses incurred: $211.47 for Enterprise car rental (2026 Hyundai Sonata) from 1/19/26 to 1/23/26 $140.00 to have the vehicle towed to the dealership since it could not be driven $18.14 for Uber to local rental car agency Total o
2022 Hyundai Tucson,Hyundai,Tucson,2022,FUEL,General vehicle issue,11,0,27,Low,Safety & Compliance + Parts Planning,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,High pressure fuel injectors went out.
2021 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2021,STRUCTURE,Service experience issue,10,0,27,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"APPARATUS USED TO HOLD HOOD UPRIGHT, (2 STRUTS), FAIL WITHOUT WARNING. STRUTS HAVE BEEN REPLACED FOUR (4) TIMES IN PAST TWO (2) MONTHS WITH TWO ( 2) OEM PARTS AND ONE (1) AFTER MARKET PART. LAST OCCURANCE, 12/26/2025, CAUSED A MINOR HAND INJURY. IF NOT PREPARED FOR SUDDEN CLOSING OF HOOD, POSSIBLE SERIOUS INJURY COULD RESULT. THE VEHICLE AT PRESENT HAS 19,775 MILES AND HAS BEEN EXAMINED BY THREE (3) SERVICE TECHNICIANS FROM DEALERSHIPS AND CAN NOT EXPLAIN WHY IT IS OCCURING OR HOW TO REPAIR IT."
2021 Honda Civic,Honda,Civic,2021,FORWARD COLLISION AVOIDANCE,Safety-critical control issue,8,0,26,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,There is a warning flash to brake when there is no vehicle or anything in front or alongside. This has happened several times. I am concerned if vehicle is safe to drive.
2021 Tesla Model 3,Tesla,Model 3,2021,POWER TRAIN,Driveability / power issue,8,0,26,Low,Product Quality,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"HVAC system which provides cooling/heating for all the systems including the powertrain, battery, inverters, Full-Self Driving computer malfunctions randomly shutting itself off due to a known issue of failing pressure and temperature sensors. Tesla is aware of this issue where the sensors may fail prematurely and in 2021 they issued a service bulletin SB-21-18-002. I was told It would be fixed with a software update... In other words it was never fixed. Now my car says that cooling and heating may randomly be unavailable due to invalid readings from the pressure and temperature sensors. They "
2021 Tesla Model 3,Tesla,Model 3,2021,UNKNOWN OR OTHER,Service experience issue,7,0,26,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"Ul_a022_ApeFusesEtc Audience [service-fix, factory) Description Driver Assistance ECU (APE) is not fused or not locked or missing credentials Set Condition Driver Assistance ECU is not fused or not locked or missing credentials Clear Condition Driver Assistance ECU is fused, locked and has proper credentials Potential Impact Driver Assistance ECU is in an unsecured state (unfused)"
2021 Toyota Camry,Toyota,Camry,2021,ENGINE,Driveability / power issue,6,0,26,Low,Product Quality,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"The contact owns a 2021 Toyota Camry. The contact stated that after starting the engine, the warning message ""Engine Maintenance Required"" was displayed. The local dealer was contacted and informed that there were no recalls or extended warranties related to the failure. The cause of the failure was not determined, and the vehicle was not yet repaired. The manufacturer was not contacted. The failure mileage was 205,000."
2022 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2022,UNKNOWN OR OTHER,Driveability / power issue,5,0,26,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,Fuel tank and def tank issues that throws error codes that will make your engine go into slump mode
2022 Honda Civic,Honda,Civic,2022,ELECTRICAL SYSTEM,Driveability / power issue,5,0,26,Low,Product Quality + Dealer Service,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"The vehicle experiences an intermittent engine and/or electrical system failure causing the car to losing acceleration while driving. The exact component has not been identified because the failure is intermittent. The vehicle is available for inspection upon request. The problem has not been duplicated by the dealership, and they have declined to repair the vehicle on that basis. However, the issue continues to occur intermittently despite being reported. The vehicle has been presented to an authorized Honda dealership for inspection. The manufacturer has not identified the cause due to the i"
2022 Honda Civic,Honda,Civic,2022,VISIBILITY,General vehicle issue,5,0,26,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"I’ve had multiple dangerous visibility issues due to the design of the wipers & having the washer fluid mounted onto the wipers rather than the hood of the car. Washer fluid comes out on the left side of the drivers’ side wiper as it reaches the top of the windshield and just gets blown off the left edge. Had to pull over on major highways at night to manually clean windshield of bug spatter in order to see. In winter the wipers freeze and lose contact with the windshield, & result in extreme reduced visibility. Results in extreme danger driving on highways when trucks pass and spray salt and "
2022 Hyundai Tucson,Hyundai,Tucson,2022,UNKNOWN OR OTHER,Driveability / power issue,5,0,26,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"On two occasions, immediately after startup, the vehicle has experienced vastly diminished power. Once in November 2023 and once on [XXX]. Both instances were identical. Vehicle could barely move from a stop, even at full throttle. Speed above 25 mph could not be achieved. RPMs exceeded 4500. Vehicle did not stall. No dash lights, warnings or chimes were triggered. Upon shutdown and restart, problem disappeared. Source of failure is unknown. Upon notification, dealer (Gossett, Memphis TN) offered a diagnostic service for $100 with a two month wait for available appointment. Vehicle has had no "
2021 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2021,UNKNOWN OR OTHER,Safety-critical control issue,4,0,25,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"I brought my vehicle to the dealership on March 7, 2026, to address the outstanding safety recall. However, I was informed that the recall repair cannot be completed until I first pay $1,100 to replace the idler pulley. Unfortunately, an unexpected $1,100 expense is not currently in my budget. It is quite concerning to continue driving a vehicle with a known risk of losing propulsion, as the increased risk of a crash is a significant safety worry for me. I would appreciate any assistance or alternative solutions you can provide to ensure this safety recall is resolved. Please find the message "
2021 Hyundai Tucson,Hyundai,Tucson,2021,ELECTRICAL SYSTEM,Electrical / software issue,4,0,25,Low,Product Quality + Dealer Service,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"The AC system on my vehicle stopped working with less than 55,000 miles on it. When replacing the compressor, condenser, all AC switches, and lines (the entire AC system besides the ECM), the AC is still not working. The compressor is not kicking on. I have an ECM on order, but myself, and all mechanics (including Hyundai certified mechanics) are all unsure why this would have happened on such a low mileage vehicle. I am EXTREMELY disappointed and frustrated with the experience and not having AC after spending thousands of dollars and time getting it fixed. Please advise ASAP. Attached is the "
2021 Hyundai Tucson,Hyundai,Tucson,2021,POWER TRAIN,Driveability / power issue,4,0,25,Low,Product Quality,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"The vehicle experienced a catalytic converter efficiency failure that was confirmed by an authorized dealership in January 2025. The dealer indicated the catalytic converter required replacement; however, the replacement was not performed, and the vehicle was returned to service with an unresolved emissions defect. Less than one year later, the vehicle developed recurring emissions system failure, loss of power, drivability issues, and repeated warning indicators. The vehicle is currently out of service while additional components, including oxygen sensors and spark plugs, are reported to be a"
2021 Tesla Model 3,Tesla,Model 3,2021,VEHICLE SPEED CONTROL,Electrical / software issue,4,0,25,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"Latest update changed the cruise control to force inclusion of autopilot. Cruise control function is now unavailable with without this autonomous feature. It's not only distracting, but aggravating. What's worse, is there's no online ability to inform or complain directly to Tesla. This isn't the first safety-related software glitch. Please get them to fix these issues."
2021 Toyota Camry,Toyota,Camry,2021,UNKNOWN OR OTHER,Driveability / power issue,4,0,25,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"2021 Toyota Camry Transmission failure. On November 28th, 2025, my car started doing a hard shudder. I pulled over, then turned my car off. When I started my car back up, it would only drive in reverse but not forward. I had my car towed to a Toyota dealership and explained to the man at the front desk what happened. The guy went to talk to the mechanic then came back and told me that the mechanic said that there is no need to do a diagnostic test and that I just need to get another transmission. Toyota never bothered to look at my car but gave me a quote for almost $8,000, then preceeded to t"
2021 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2021,SUSPENSION,Driveability / power issue,3,0,25,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"The car while I’m driving, when I start driving it has a kick could be transmission"
2021 Hyundai Tucson,Hyundai,Tucson,2021,UNKNOWN OR OTHER,Driveability / power issue,3,0,25,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"Engine started making a knocking sound, light came on. Accelerates and decelerates on it's own. Dealership will not provide a diagnosis in any way, but says complete engine replacement is the answer. Car has been at dealership for almost a month."
2022 Hyundai Tucson,Hyundai,Tucson,2022,FUEL SYSTEM,Driveability / power issue,3,0,25,Low,Safety & Compliance + Parts Planning,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"The contact's wife owns a 2022 Hyundai Tucson. The contact stated that his wife reported that the vehicle shuddered significantly and failed to exceed 30 MPH while driving. The check engine warning light was illuminated. The vehicle was taken to the dealer, where it was diagnosed that the fuel injectors were leaking, and the dealer determined that the fuel injectors needed to be replaced. The dealer informed the contact that the manufacturer had redesigned the fuel injectors due to the known failure. The dealer informed the contact that the repair could not be covered under the extended warran"
2022 Tesla Model 3,Tesla,Model 3,2022,UNKNOWN OR OTHER,Driveability / power issue,3,0,25,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"I own a Tesla 2022 Model 3 Long Range purchased in 2022 New and have been experiencing persistent issues with the HVAC units causing a persistent and prevalent smell of mold/must/vinegar that is causing myself and my passengers headaches and allergies. Tesla has failed to permanently repair and this is a widespread design issue with Tesla vehicles documented thoroughly online including Tesla’s own website, where condensation in the evaporator housing leads to mold and bacteria growth and odor in the cabin as a result. Despite multiple service appointments, Tesla has only provided temporary ass"
2022 Tesla Model 3,Tesla,Model 3,2022,VEHICLE SPEED CONTROL,Driveability / power issue,3,0,25,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"The accelerator pedal snapped off without any warning while driving on the interstate attempting to pass a vehicle. As I pressed the accelerator pedal, all resistance in the pedal disappeared and vehicles regenerative braking immediately engaged despite my efforts to maintain a safe speed on the interstate. Due to the regenerative braking and the lack of an accelerator pedal, I quickly found myself in the very dangerous situation in which my car was attempting to come to a stop from a high rate of speed in the middle of the interstate. I was luckily able to make a hard right turn to cross a la"
2021 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2021,EXTERIOR LIGHTING,Safety-critical control issue,2,0,25,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,Rain is coming in through the back window. Dealer is stating that the rain is coming from the sliding window but satellite is stating it’s the brake light on the top of the truck.
2021 Honda Civic,Honda,Civic,2021,LANE DEPARTURE,Safety-critical control issue,2,0,25,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"The contact owns a 2021 Honda Civic. The contact stated that while driving at an undisclosed speed, the Lane Keep Steering Assist failed to function as intended. In addition, the contact stated that the steering wheel was sticking. No warning lights were illuminated. The vehicle was taken to two dealers, and the vehicle was diagnosed with steering rack assembly failure. The contact was informed that the steering rack assembly needed to be replaced. The vehicle was not repaired. In addition, the contact stated that the failure was a known failure with the vehicle. The manufacturer was made awar"
2021 Honda Civic,Honda,Civic,2021,SUSPENSION,Safety-critical control issue,2,0,25,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,rear suspension making cluncking noise over bumps off brakes at any speed
2021 Tesla Model 3,Tesla,Model 3,2021,FORWARD COLLISION AVOIDANCE,Driveability / power issue,2,0,25,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"Hi Tesla installed a new software update yesterday. Today when I began driving my car and I turned on the adaptive cruise control I found that the car was completely in autopilot and it was extremely to take control over the car again as I was initially unable to steer and it took a few seconds for it to discontinue the autopilot. This is very concerning because the car was set in the preferences (see attached photo) to autopilot (Full Self-Driving (Supervised)"" in the preferences) even though I have never used it and has it set to adaptive cruise control (""Traffic-Aware Cruise Control"" in the"
2021 Tesla Model 3,Tesla,Model 3,2021,UNKNOWN OR OTHER,Driveability / power issue,2,0,25,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,I have a 2021 Tesla Model 3. The current owners manual shows how to open the rear doors in the event of loss of power using an emergency latch at the bottom of the door pocket. Our car doesn’t have that latch in the rear doors (though the front doors each have one). This concerns us and we feel it is unsafe for the back seat passengers.
2021 Toyota Camry,Toyota,Camry,2021,FORWARD COLLISION AVOIDANCE,Safety-critical control issue,2,0,25,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"The contact owns a 2021 Toyota Camry. The contact stated that while operating the vehicle, the Forward Collision Avoidance became inoperable nearly causing the vehicle to crash on several occasions. The contact stated that the vehicle failed to stop as designed. The contact stated that there were no warning lights illuminated. The vehicle was taken to the local dealer however, the mechanic was unable to duplicate the failure. The manufacturer was notified of the failure and an engineer was sent to inspect the vehicle. The engineer was unable to determine the cause of the failure. The contact i"
2022 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2022,SEAT BELTS,Safety-critical control issue,2,0,25,Low,Safety & Compliance,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,Loud chatter/rattle noise under acceleration and idle loss of power with no engine lights on dash metallic shards in oil.
2022 Honda Civic,Honda,Civic,2022,STRUCTURE,Driveability / power issue,2,0,25,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"Windshield crack on passage edge with no impact or cause at 2,000 miles. Noticeable sounds like sand constantly hitting windshield or air whooshing around was heard prior to seeing small line crack starting from passage side edge. Safety concern is the windshield install issue or faulty glass and vehicle body safety issues. Took vehicle to Honda dealer and service representative took visual assessment stated, no impact mark but something caused it then focused tip of a pen into crack and stated a small item must have hit it and it isn't a manufacturer issue."
2022 Hyundai Tucson,Hyundai,Tucson,2022,ENGINE,Safety-critical control issue,2,0,25,Low,Product Quality,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"The contact owns a 2022 Hyundai Tucson. The contact stated while entering the highway and depressing the accelerator pedal to the floor, the vehicle failed to accelerate over 50 MPH. The contact stated that the check engine warning light was illuminated. The contact stated that the steering wheel and vehicle was shaking abnormally. The contact continued driving to her destination. The contact took the vehicle to the local dealer the following day, where it was diagnosed with needing fuel injector #4 to be replaced. The vehicle was not repaired and continued to experience the failure. The conta"
2022 Hyundai Tucson,Hyundai,Tucson,2022,FUEL,Safety-critical control issue,2,0,25,Low,Safety & Compliance + Parts Planning,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"My fuel injectors has been blown and Hyundai will not replace all 4 when one goes out. So I have to keep going back up to the dealership to get it fixed each time. They always blow on the highway. The first time I was doing some distance driving from Columbus, OH to Dayton, OH. Then the other time happened when I was on the highway during rush hour traffic. There were no other warnings before this happens. It just happens and the engine light comes on as the steering will begins to shakes like crazy."
2022 Hyundai Tucson,Hyundai,Tucson,2022,VISIBILITY,Safety-critical control issue,2,0,25,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,Driving and the sunroof exploded. Sounded like a gunshot. Glass went flying. Distracted my driving and nearly crashed into another car from the loud bang.
2022 Tesla Model 3,Tesla,Model 3,2022,ELECTRICAL SYSTEM,Driveability / power issue,2,0,25,Low,Product Quality + Dealer Service,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"RECURRING 12V LOW-VOLTAGE SYSTEM FAILURE AND DEFECTIVE REAR DEFROSTER HEATER GRID VEHICLE: 2022 Tesla Model 3 (VIN: [XXX] ). ODOMETER: 114,093 miles at time of third service visit. SUMMARY OF DEFECT: Vehicle has experienced recurring low-voltage (12V) system alerts since late December 2025. The 12V battery has been replaced three times by Tesla service. After each replacement, the low-voltage alerts return within days. Tesla's diagnostic system detected a DCR (DC resistance) reading of 16.8 milliohms against a threshold of 16 milliohms, indicating the battery's internal resistance is too high "
2022 Toyota Camry,Toyota,Camry,2022,FORWARD COLLISION AVOIDANCE,Safety-critical control issue,2,0,25,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"This is a rental from Enterprise. I was on the highway driving. I had been using the adaptive cruise control, but I braked because there was traffic ahead. I was slowing down reasonably with the flow of traffic and all of a sudden the auto brake went on and slammed the car to a full stop! The pick up truck behind me had to slam his brakes and swerve and came within inches of plowing into me. The jolt threw me forward and terrified me. It was as if I wasn't driving the car- the car did it. So dangerous!!! I called Toyota and they filed a report and said someone would call me. And I called enter"
2021 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2021,ELECTRONIC STABILITY CONTROL (ESC),Safety-critical control issue,1,0,25,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"The contact owns a 2021 Chevrolet Silverado 1500. The contact stated while driving at various speeds, the vehicle started shaking abnormally. The Service Electronic Stability Control (ESC) warning light, Parking Brake warning light, a wrench warning symbol, and the check engine warning light were illuminated. The vehicle was not taken to the dealer to be diagnosed or repaired. The manufacturer was informed of the failure and confirmed that there was no recall associated with the VIN. The contact was referred to the NHTSA Hotline to report the failure. The failure mileage was approximately 125,"
2021 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2021,SEATS,Service experience issue,1,0,25,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,I dropped an ink pen between the drivers seat and the center fold down seat. While attempting to retrieve the pen I reached between the drivers seat and the console just forward of the seatbelt connector with my right hand. When I pulled my hand out a sharp piece of metal on the seat frame sliced the fatty portion of my hand below the thumb. There isn’t a guard to protect the hand in the event one reaches between the seat to retrieve an object. I also found the same sharp piece present on the passenger side seat between the seat and the center console. I took the vehicle to my local dealer and
2021 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2021,STRUCTURE,Safety-critical control issue,1,0,25,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,There is a water leak from the rear roof leaking causing water to come inside by the rear window down the rear pillar by the airbag. May cause problems with the rear side airbag and mold. Dealer charged me a $273 diagnostics charge and will not repair under warranty or extended warranty even though there is a TSB on this affecting numerous other trucks
